epoch,train_loss,val_recall,val_auc,val_tp,val_tn,val_fp,val_fn,threshold
1,0.4928299353783389,0.7599591419816139,0.7038318072377061,744,488,408,235,0.74350655
2,0.4196686100169837,0.7824310520939735,0.7187967404786226,766,492,404,213,0.7930501
3,0.4010453620050327,0.7936670071501533,0.6885693309499489,777,473,423,202,0.6668446
4,0.3931463027156022,0.8335035750766088,0.6889090544287173,816,454,442,163,0.635523
5,0.37483829918156664,0.8120531154239019,0.7288151630672698,795,480,416,184,0.64655113
6,0.36979087415229844,0.7997957099080695,0.6609935885743471,783,482,414,196,0.72657436
7,0.371264016622281,0.7732379979570991,0.6765786881657668,757,499,397,222,0.83259964
8,0.37206829563680904,0.8549540347293156,0.6719673409455713,837,432,464,142,0.5987552
9,0.37720825337621583,0.832482124616956,0.6700532613453962,815,452,444,164,0.7071815
10,0.35085061282278546,0.780388151174668,0.6710462115132059,764,490,406,215,0.8142771
11,0.36834940410043343,0.7640449438202247,0.6959571766014885,748,517,379,231,0.7645127
12,0.35865976158753937,0.8406537282941777,0.669298003611557,823,443,453,156,0.5784691
13,0.36418500829891987,0.7793667007150153,0.6622464614037649,763,479,417,216,0.71657324
