epoch,train_loss,train_acc,test_loss,test_acc,precision,recall,f1,specificity,balanced_acc,roc_auc,TP,TN,FP,FN
1,0.7115174458308158,0.5174405687624972,0.6911517445857708,0.5274725274725275,0.5256511444356748,0.9380281690140845,0.6737481031866465,0.08244274809160305,0.5102354585528438,0.5094581227824966,666,54,601,44
2,0.6598185523963721,0.597422794934459,0.611918863171077,0.6996336996336996,0.652129817444219,0.9056338028169014,0.758254716981132,0.4763358778625954,0.6909848403397484,0.766149876357381,643,312,343,67
3,0.4801054212271545,0.8000444345700956,0.3247705046114795,0.8981684981684982,0.8927097661623109,0.9140845070422535,0.9032707028531664,0.8809160305343512,0.8975002687883024,0.9558241049349532,649,577,78,61
4,0.37162681169918815,0.8566985114419018,0.3141234494240839,0.8908424908424909,0.8901251738525731,0.9014084507042254,0.8957312806158152,0.8793893129770992,0.8903988818406623,0.9478056122997527,640,576,79,70
5,0.32390929507933786,0.8824705620973117,0.2578351254728469,0.8989010989010989,0.9554140127388535,0.8450704225352113,0.8968609865470852,0.9572519083969465,0.9011611654660789,0.9698720567680894,600,627,28,110
6,0.2769536608372813,0.9035769828926905,0.5089085565741931,0.8534798534798534,0.8057553956834532,0.9464788732394366,0.8704663212435232,0.7526717557251908,0.8495753144823137,0.9312848080851521,672,493,162,38
7,0.2549815440069991,0.9115752055098867,0.2604294233604278,0.9106227106227106,0.9883720930232558,0.8380281690140845,0.9070121951219512,0.9893129770992366,0.9136705730566606,0.9717535748844209,595,648,7,115
8,0.22757314511058968,0.9229060208842479,0.2111495090454933,0.9267399267399268,0.9538690476190477,0.9028169014084507,0.9276410998552821,0.9526717557251908,0.9277443285668208,0.9743382431996559,641,624,31,69
9,0.2087246492787305,0.9311264163519218,0.1910582902515691,0.9326007326007326,0.9625748502994012,0.9056338028169014,0.9332365747460087,0.9618320610687023,0.9337329319428018,0.9770648317385228,643,630,25,67
10,0.19756114672992764,0.9357920462119529,0.19249935468204976,0.9391941391941392,0.9875583203732504,0.8943661971830986,0.9386548410938655,0.9877862595419847,0.9410762283625417,0.9814944629609719,635,647,8,75
11,0.17982262808670635,0.9400133303710286,0.2512309731159267,0.9120879120879121,0.9108635097493036,0.9211267605633803,0.9159663865546218,0.9022900763358779,0.9117084184496291,0.9647844317815288,654,591,64,56
12,0.17368819809195346,0.9442346145301044,0.17112284614007336,0.9391941391941392,0.9742813918305597,0.9070422535211268,0.9394602479941649,0.9740458015267176,0.9405440275239222,0.9831846038060424,644,638,17,66
13,0.1638178416105495,0.9486780715396579,0.35296167592147915,0.9025641025641026,0.874189364461738,0.9492957746478873,0.9101958136394328,0.8519083969465648,0.9006020857972261,0.9606407913127621,674,558,97,36
14,0.1616176053489749,0.9471228615863142,0.22919703374949937,0.9245421245421246,0.9095816464237517,0.9492957746478873,0.9290144727773949,0.8977099236641222,0.9235028491560047,0.977800236533706,674,588,67,36
15,0.14619719550750987,0.9533437013996889,0.3458969865732842,0.8835164835164835,0.8315282791817088,0.9732394366197183,0.8968202465931214,0.7862595419847328,0.8797494893022255,0.9725663907106764,691,515,140,19
