video_name,label_str,activity,group,max_tilt,delta_tilt,min_h_w_ratio,delta_h_w_ratio,weighted_tilt,weighted_velocity,weighted_ground_proximity,depth_drop,depth_variance,depth_range,stage3_fall_prob,LABEL
video000000,fall,bed,f_raw_b_1,55.295624,-49.491287,0.944804,0.675064,29.806049,0.020045,0.600343,0.05289,0.001405,0.111181,0.999969,1
video000000,fall,bed,f_raw_b_2,97.260569,-10.158388,0.666377,-0.407633,91.492059,0.025565,0.590972,0.08167,0.003755,0.170144,0.999962,1
video000000,fall,bed,f_raw_b_3,24.285618,14.627983,1.448819,0.086651,11.925851,0.004438,0.84923,0.298477,0.013004,0.357442,0.999951,1
video000000,fall,chair,f_raw_c_1,63.838419,5.496487,0.517559,-0.467898,60.921728,0.013891,0.479699,0.096489,0.004813,0.210792,0.99997,1
video000000,fall,chair,f_raw_c_2,119.458203,-39.936592,0.833894,-0.643617,90.922257,0.02981,0.360072,0.019696,0.000444,0.06109,0.999971,1
video000000,fall,chair,f_raw_c_3,138.215319,100.747122,1.406854,-2.129611,77.622317,0.010018,0.411725,-0.194044,0.013242,0.304741,0.999972,1
video000000,fall,stand,f_raw_s_1,6.306925,1.411958,1.230729,-0.564478,3.902832,0.006504,0.680811,0.061008,0.001395,0.106818,0.999969,1
video000000,fall,stand,f_raw_s_2,69.414884,67.138832,1.644905,-4.010003,31.215501,0.013782,0.506165,0.100346,0.004997,0.202257,0.99997,1
video000000,fall,stand,f_raw_s_3,2.821766,2.820214,0.93749,-0.037905,1.365196,0.009283,0.848927,-0.000298,0.0042,0.193495,0.999944,1
video000001,fall,bed,f_raw_b_1,65.390706,-42.897945,0.94558,0.429832,46.790027,0.019017,0.5983,-0.060472,0.002652,0.15051,0.99997,1
video000001,fall,bed,f_raw_b_2,120.118694,-27.733535,0.950106,-0.142044,94.076962,0.021989,0.565875,-0.019232,0.001119,0.103764,0.999965,1
video000001,fall,bed,f_raw_b_3,174.82756,9.369261,0.38725,0.151074,162.783593,0.066414,0.683413,-0.220773,0.085858,0.667622,0.999947,1
video000001,fall,chair,f_raw_c_1,41.130776,21.006147,1.29416,-1.907826,24.738564,0.022259,0.608592,-0.011414,0.003567,0.199955,0.999966,1
video000001,fall,chair,f_raw_c_2,78.490245,43.148043,0.719091,-0.787142,51.37128,0.006063,0.332085,-0.001046,4.7e-05,0.017965,0.99997,1
video000001,fall,chair,f_raw_c_3,137.433723,123.391182,1.559849,-1.551614,81.801991,0.001594,0.413569,-0.287974,0.013431,0.360413,0.999972,1
video000001,fall,stand,f_raw_s_1,2.145215,0.019238,2.539421,-3.356694,1.079253,0.020777,0.687267,0.076314,0.001405,0.112859,0.999966,1
video000001,fall,stand,f_raw_s_2,48.420298,47.241645,2.086642,-3.281283,17.832846,0.005946,0.59674,0.050128,0.003668,0.180002,0.999967,1
video000001,fall,stand,f_raw_s_3,128.248761,112.171325,0.529696,-0.628805,75.042208,0.023685,0.513259,-0.153264,0.021806,0.438129,0.999963,1
video000002,fall,bed,f_raw_b_1,75.461441,11.207981,1.194077,0.113586,59.119998,0.005677,0.38437,-0.102266,0.007603,0.245204,0.999971,1
video000002,fall,bed,f_raw_b_2,105.876105,12.734103,0.889726,-0.605629,84.065718,0.02743,0.628527,-0.15919,0.011997,0.315499,0.999968,1
video000002,fall,bed,f_raw_b_3,1.131119,-0.647673,4.187718,-0.007219,0.433899,-0.001109,0.974454,0.003868,0.002553,0.154537,0.999596,1
video000002,fall,chair,f_raw_c_1,98.070253,93.452507,1.311066,-1.567302,47.759408,0.002326,0.588468,-0.107597,0.002427,0.158615,0.999968,1
video000002,fall,chair,f_raw_c_2,135.528198,106.49794,0.971613,-1.796765,94.350496,0.016647,0.409192,-0.067525,0.005467,0.2262,0.999971,1
video000002,fall,chair,f_raw_c_3,152.000787,117.372883,1.646953,-2.128837,79.096326,0.008188,0.41828,-0.218564,0.011546,0.334966,0.999972,1
video000002,fall,stand,f_raw_s_1,4.079768,1.322296,1.214074,-0.600824,2.253385,0.009289,0.668442,0.040049,0.001493,0.099493,0.999971,1
video000002,fall,stand,f_raw_s_2,90.466227,86.175488,1.801446,-3.175638,37.254659,0.006981,0.597207,-0.027017,0.004163,0.171972,0.999968,1
video000002,fall,stand,f_raw_s_3,3.139729,-0.055488,2.465413,0.02195,2.709167,-6.5e-05,0.924661,-0.027286,0.000281,0.046303,0.999931,1
video000003,fall,bed,f_raw_b_1,75.461441,11.207981,1.194077,0.113586,59.119998,0.005677,0.38437,-0.102266,0.007603,0.245204,0.999971,1
video000003,fall,bed,f_raw_b_2,75.886201,10.551811,0.660287,0.360113,65.531186,0.001274,0.702063,-0.16343,0.020399,0.375152,0.999967,1
video000003,fall,bed,f_raw_b_3,24.285618,14.627983,1.448819,0.086651,11.925851,0.004438,0.84923,0.298477,0.013004,0.357442,0.999951,1
video000003,fall,chair,f_raw_c_1,6.917445,-5.650902,0.842468,-0.170824,4.008911,-0.00645,0.521279,0.19865,0.01696,0.365153,0.99997,1
video000003,fall,chair,f_raw_c_2,133.70445,-9.029628,0.972745,-0.637669,124.581767,0.028028,0.31958,-0.129812,0.002409,0.142135,0.999971,1
video000003,fall,chair,f_raw_c_3,71.207973,31.062813,0.929445,-0.318733,54.983292,-0.006334,0.597663,0.277522,0.013618,0.309304,0.999969,1
video000003,fall,stand,f_raw_s_1,74.343772,23.680361,1.413641,-3.100325,41.402718,0.021144,0.564155,-0.097419,0.002743,0.143477,0.999972,1
video000003,fall,stand,f_raw_s_2,85.265979,79.599302,2.035669,-3.072714,34.019824,0.008665,0.582487,0.021966,0.001971,0.126722,0.999969,1
video000003,fall,stand,f_raw_s_3,20.075098,0.218189,1.027674,0.032932,8.256849,0.018014,0.765806,0.186002,0.025617,0.481361,0.999949,1
video000004,fall,bed,f_raw_b_1,66.124834,0.834631,1.164804,-0.083595,51.69511,0.007104,0.483372,-0.049892,0.001013,0.094136,0.999972,1
video000004,fall,bed,f_raw_b_2,59.329633,-2.48256,0.837829,-0.159954,53.962584,0.028835,0.570455,-0.022739,0.000172,0.035207,0.999969,1
video000004,fall,bed,f_raw_b_3,3.512463,-0.294721,4.266412,-0.035478,3.351043,-0.001987,0.983526,-0.062409,0.005714,0.213418,0.999613,1
video000004,fall,chair,f_raw_c_1,133.428008,128.281521,0.640926,-0.250146,64.557504,-0.005325,0.446921,-0.171099,0.017612,0.362845,0.99997,1
video000004,fall,chair,f_raw_c_2,125.686914,1.481189,0.925572,-0.750751,123.046259,0.040148,0.348017,-0.08511,0.001657,0.136085,0.999971,1
video000004,fall,chair,f_raw_c_3,62.360286,27.111675,1.120503,-0.182913,49.771095,-0.001622,0.583982,0.353157,0.023659,0.426648,0.999969,1
video000004,fall,stand,f_raw_s_1,60.308911,52.277575,1.316573,-2.29193,32.103868,0.028074,0.645337,-0.058696,0.001154,0.083634,0.999964,1
video000004,fall,stand,f_raw_s_2,68.35948,52.839665,1.383895,-3.482842,41.838003,0.026067,0.41574,-0.126239,0.00501,0.247473,0.999971,1
video000004,fall,stand,f_raw_s_3,29.670159,20.572052,0.788442,-0.958339,14.90035,0.018591,0.637261,-0.309036,0.02243,0.398589,0.999971,1
video000005,fall,bed,f_raw_b_1,37.969763,-5.057751,1.262997,0.526989,25.615756,0.007112,0.717853,0.135804,0.016864,0.441907,0.999948,1
video000005,fall,bed,f_raw_b_2,73.759136,-23.42613,0.900463,0.012001,57.903351,0.031896,0.557612,-0.026212,0.005245,0.243924,0.999969,1
video000005,fall,bed,f_raw_b_3,1.858399,-0.035887,4.916625,-0.05504,1.722993,0.001702,0.982735,-0.055501,0.004433,0.186935,0.999461,1
video000005,fall,chair,f_raw_c_1,50.197012,47.294485,0.914243,0.028381,16.003196,-0.011977,0.496891,0.248879,0.009537,0.34065,0.999969,1
video000005,fall,chair,f_raw_c_2,129.825687,-49.326108,0.755618,-0.785259,89.493746,0.043346,0.337198,-0.018474,0.00265,0.172697,0.99997,1
video000005,fall,chair,f_raw_c_3,74.122217,45.439085,0.960759,-0.539122,56.527764,-0.003184,0.580593,0.196774,0.00649,0.241146,0.999969,1
video000005,fall,stand,f_raw_s_1,70.99553,69.138522,1.568243,-2.496221,37.896244,0.022283,0.803723,-0.000561,0.004989,0.226682,0.999958,1
video000005,fall,stand,f_raw_s_2,66.708238,65.895367,1.664563,-4.10065,24.025589,0.008299,0.55071,0.021739,0.019218,0.448132,0.999967,1
video000005,fall,stand,f_raw_s_3,11.850041,0.584622,0.945234,-0.790832,9.897608,0.013761,0.609014,-0.097012,0.001463,0.113924,0.999972,1
video000006,fall,bed,f_raw_b_1,30.253295,2.413918,1.418353,-0.061325,27.754346,-0.000807,0.853276,0.07356,0.002748,0.152781,0.999954,1
video000006,fall,bed,f_raw_b_2,65.908347,-19.456213,0.979675,-0.033115,52.417266,0.034987,0.537443,-0.089015,0.004727,0.170344,0.999969,1
video000006,fall,bed,f_raw_b_3,175.209527,29.964882,0.9394,0.725003,136.016003,0.022972,0.501864,-0.004504,0.001798,0.147706,0.999962,1
video000006,fall,chair,f_raw_c_1,30.376851,-18.923224,0.893608,0.105494,17.117268,-0.000295,0.489622,-0.097249,0.005496,0.193573,0.99997,1
video000006,fall,chair,f_raw_c_2,121.216068,88.778848,1.024601,-2.23373,83.187168,0.013797,0.465629,-0.134383,0.004582,0.217102,0.999971,1
video000006,fall,chair,f_raw_c_3,55.043602,29.524242,1.12366,0.055867,45.098822,-0.003,0.569244,0.115402,0.002994,0.158377,0.99997,1
video000006,fall,stand,f_raw_s_1,149.362238,123.100186,1.864929,-0.518606,123.247824,0.049522,0.550174,-0.316754,0.060992,0.653567,0.999967,1
video000006,fall,stand,f_raw_s_2,8.991633,6.020313,2.633001,-3.232558,3.27728,0.012399,0.631376,0.067508,0.00084,0.092169,0.999963,1
video000006,fall,stand,f_raw_s_3,28.843901,19.118835,0.8288,-0.585964,18.666085,0.000593,0.656628,0.331381,0.042745,0.497241,0.999966,1
video000007,fall,bed,f_raw_b_1,42.858395,-15.589359,1.070551,0.505996,28.218591,0.023915,0.733758,0.124657,0.002598,0.136675,0.999956,1
video000007,fall,bed,f_raw_b_2,111.031442,-39.3273,0.710472,-0.396071,88.585787,0.032055,0.425699,0.116825,0.004654,0.191861,0.999962,1
video000007,fall,bed,f_raw_b_3,1.353501,-0.587848,4.596652,0.099756,1.067989,-0.000163,0.982333,0.109842,0.008369,0.24991,0.999565,1
video000007,fall,chair,f_raw_c_1,19.613665,12.597906,0.797274,0.067458,8.058721,-0.006018,0.49332,0.013381,0.000326,0.053374,0.999969,1
video000007,fall,chair,f_raw_c_2,122.39428,94.090501,0.926717,-2.227605,92.10706,0.01695,0.4331,-0.074562,0.014225,0.48236,0.999971,1
video000007,fall,chair,f_raw_c_3,77.990286,62.859467,0.980206,-0.175835,48.588645,-0.01177,0.570041,0.096193,0.005509,0.209092,0.999969,1
video000007,fall,stand,f_raw_s_1,150.292222,97.688504,1.370519,-1.347842,111.343218,0.059192,0.482038,0.018525,0.01485,0.444588,0.999968,1
video000007,fall,stand,f_raw_s_2,25.697323,24.77922,2.13786,-3.771344,9.411327,0.016622,0.664474,0.106208,0.004453,0.189462,0.999963,1
