video_id,label,prob_model_bed,prob_model_chair,prob_model_stand,ensemble_probability,tilt_std,ground_proximity_range,tilt_total_variation,ground_proximity_iqr,tilt_abs_delta,depth_variance,depth_iqr,depth_mean_abs_diff,depth_second_half_std,depth_abs_delta,stage5_score,stage5_decision
B_D_0001,1,0.7974260449409485,0.9309406876564026,0.8012142777442932,0.8431936701138815,17.596921,0.02587,49.218533,0.005705,49.218533,0.000141,0.016968,0.018761,0.008956,0.006375,0.6947522074678784,1
B_D_0002,1,0.802768886089325,0.9327239990234375,0.8355333805084229,0.8570087552070618,18.288372,0.028664,63.381474,0.004861,42.56322,0.000167,0.010952,0.017053,0.006646,0.020032,0.7025780341551936,1
B_D_0003,1,0.817738950252533,0.8825114965438843,0.9024043083190918,0.867551585038503,10.091012,0.048559,50.924042,0.017518,12.899996,0.002291,0.080847,0.051202,0.051503,0.060474,0.6950744748752103,1
B_D_0004,1,0.817738950252533,0.8825114965438843,0.9024043083190918,0.867551585038503,10.091012,0.048559,50.924042,0.017518,12.899996,0.002291,0.080847,0.051202,0.051503,0.060474,0.6950744748752103,1
B_D_0005,1,0.8299088478088379,0.8289820551872253,0.8642470240592957,0.8410459756851196,8.867669,0.035179,50.03392,0.008699,1.8067,0.000949,0.012895,0.025729,0.01237,0.068053,0.6582432623212507,1
B_D_0007_resized,1,0.40135493874549866,0.20476754009723663,0.2720218896865845,0.29271478950977325,1.519312,0.041697,12.277761,0.029789,2.420459,0.008607,0.125041,0.091249,0.059218,0.027535,0.2714978230719169,0
B_D_0010_resized,1,0.22906295955181122,0.11003690212965012,0.1584850549697876,0.16586163888374963,3.212138,0.06076,14.561584,0.014411,4.596632,0.001219,0.039295,0.036267,0.005847,0.011263,0.15524795531313032,0
B_D_0011,1,0.7605571150779724,0.8927392363548279,0.812057375907898,0.8217845757802328,24.542283,0.086557,211.234224,0.032543,29.09448,0.000284,0.025342,0.022993,0.011341,0.031033,0.7078284166766985,1
B_D_0012,1,0.7605571150779724,0.8927392363548279,0.812057375907898,0.8217845757802328,24.542283,0.086557,211.234224,0.032543,29.09448,0.000284,0.025342,0.022993,0.011341,0.031033,0.7078284166766985,1
B_D_0013,1,0.7640809416770935,0.859001874923706,0.781475841999054,0.8015195528666178,3.38864,0.011092,17.655029,0.005247,7.380921,0.001708,0.063119,0.055735,0.038993,0.024375,0.631513255282452,1
B_D_0014,1,0.716662585735321,0.9089470505714417,0.8192507028579712,0.8149534463882446,15.656392,0.036354,60.685293,0.021133,26.673821,0.006132,0.120505,0.072923,0.093047,0.095443,0.6864644428719684,1
B_D_0015,1,0.6440791487693787,0.8141229152679443,0.6163328289985657,0.6915116310119629,4.050211,0.035445,20.355874,0.014483,5.517564,0.005677,0.152642,0.037735,0.027094,0.167636,0.5731496468478485,1
B_D_0016,1,0.6317782402038574,0.8273306488990784,0.5499521493911743,0.66968701283137,4.542566,0.04742,24.581011,0.013424,2.359787,0.007009,0.120428,0.051168,0.052057,0.218538,0.5680678427433427,1
B_D_0017,1,0.6201827526092529,0.7727677226066589,0.5474889278411865,0.6468131343523661,3.578703,0.025174,9.321106,0.01069,9.321106,0.004205,0.039459,0.087184,0.035443,0.048944,0.5347368358210861,1
B_D_0018,1,0.6201827526092529,0.7727677226066589,0.5474889278411865,0.6468131343523661,3.578703,0.025174,9.321106,0.01069,9.321106,0.004205,0.039459,0.087184,0.035443,0.048944,0.5347368358210861,1
B_D_0019,1,0.6901180148124695,0.8654893040657043,0.7636317014694214,0.7730796734491984,6.438093,0.037437,35.171255,0.005302,1.360809,0.001219,0.052376,0.041536,0.031285,0.023137,0.6209112371219463,1
B_D_0020,1,0.6901180148124695,0.8654893040657043,0.7636317014694214,0.7730796734491984,6.438093,0.037437,35.171255,0.005302,1.360809,0.001219,0.052376,0.041536,0.031285,0.023137,0.6209112371219463,1
B_D_0021,1,0.8263481259346008,0.8693315386772156,0.8508449792861938,0.8488415479660034,14.601434,0.038063,42.487139,0.025112,37.627457,0.002001,0.073996,0.066326,0.033276,0.11731,0.6902822710383799,1
B_D_0022,1,0.8034480214118958,0.8623072504997253,0.8225647211074829,0.8294399976730347,45.00524,0.18637,146.561627,0.088704,118.705785,0.005112,0.116922,0.060382,0.076096,0.028144,0.7825000138291011,1
B_D_0023,1,0.8279746174812317,0.9309967160224915,0.9012223482131958,0.886731227238973,26.774206,0.331603,101.119117,0.210528,52.554585,0.008527,0.106103,0.066059,0.096256,0.297336,0.8112047442438441,1
B_D_0024,1,0.7972179651260376,0.8315659761428833,0.754891037940979,0.7945583264032999,20.393926,0.206774,61.292475,0.096846,61.292475,0.00338,0.103266,0.029786,0.045175,0.145514,0.6943641616780335,1
B_D_0025,1,0.7829504013061523,0.9159407615661621,0.7691975235939026,0.8226962288220724,9.239107,0.196984,48.389198,0.108943,6.516836,0.003852,0.102075,0.050245,0.045793,0.189245,0.7013770293700672,1
B_D_0026,1,0.7829504013061523,0.9159407615661621,0.7691975235939026,0.8226962288220724,9.239107,0.196984,48.389198,0.108943,6.516836,0.003852,0.102075,0.050245,0.045793,0.189245,0.7013770293700672,1
B_D_0027,1,0.7974340319633484,0.8940128087997437,0.9067333340644836,0.8660600582758585,16.301644,0.273382,80.802183,0.142217,4.037707,0.017446,0.193817,0.076049,0.056346,0.380244,0.7566234999067385,1
B_D_0028,1,0.810602068901062,0.8940039277076721,0.8963248133659363,0.8669769366582235,17.477285,0.21611,80.457494,0.117921,28.013798,0.0149,0.209377,0.065545,0.047881,0.310124,0.7530041814423798,1
B_D_0029,1,0.8177897930145264,0.8957815170288086,0.7519112825393677,0.8218275308609009,17.690414,0.212098,62.306863,0.12371,39.201635,0.001298,0.053128,0.030614,0.037121,0.101932,0.7139320058125366,1
B_D_0030,1,0.8178318738937378,0.8691503405570984,0.7959509491920471,0.8276443878809611,17.816323,0.208303,47.405292,0.119283,41.744684,0.000966,0.035918,0.039187,0.023495,0.045684,0.7064488846508703,1
B_D_0031,1,0.6139965057373047,0.4763319790363312,0.6658061742782593,0.5853782196839651,11.108491,0.107259,30.393242,0.053498,29.680478,0.004288,0.114787,0.059814,0.070508,0.098022,0.512268431967438,1
B_D_0032,1,0.8140036463737488,0.9124290347099304,0.875687301158905,0.8673733274141947,18.298908,0.066978,142.138359,0.036764,57.474783,0.002642,0.074554,0.026808,0.05215,0.191507,0.739521612110512,1
B_D_0033,1,0.8140036463737488,0.9124290347099304,0.875687301158905,0.8673733274141947,18.298908,0.066978,142.138359,0.036764,57.474783,0.002642,0.074554,0.026808,0.05215,0.191507,0.739521612110512,1
B_D_0034,1,0.7585108876228333,0.6398446559906006,0.7411291599273682,0.713161567846934,19.827561,0.154603,89.382397,0.058051,52.615179,0.002624,0.058952,0.05947,0.059044,0.065591,0.6246454452788949,1
B_D_0035,1,0.7791378498077393,0.9261486530303955,0.8935469388961792,0.866277813911438,29.695115,0.040979,101.635811,0.013805,56.446681,0.000525,0.027054,0.023899,0.028442,0.004444,0.7298476626273275,1
B_D_0036,1,0.7092036008834839,0.8636343479156494,0.7907216548919678,0.7878532012303671,19.215981,0.220681,55.017018,0.111295,50.83634,0.007284,0.097466,0.067282,0.089775,0.233117,0.7038587045326019,1
